stage,champion,precision,recall,f1,secondary,avg_runtime_seconds,notes
text,easyocr,0.904,1.0,0.949,0.962,1.9,fuzz>=60 over 15 diagrams
box,canny_contours,0.709,0.938,0.808,0.291,0.003,IoU>=0.5 over 14 generated diagrams
arrow,cnn_verified,0.581,0.346,0.434,,0.08,"unordered src/tgt pairs, 14 scored diagrams"
icon,template_matching,1.0,1.0,1.0,presence_f1=1.0 fps_empty_gt=0,0.177,by-label fuzzy>=80; GT icons only present on search_interview_test.png

# Full leaderboard below for transparency
stage,rank,detector,precision,recall,f1,avg_runtime_seconds,notes
text,1,easyocr,0.904,1.0,0.949,1.9,fuzz>=60 over 15 diagrams
text,2,paddleocr,0.912,0.973,0.942,0.67,fuzz>=60 over 15 diagrams
box,1,canny_contours,0.709,0.938,0.808,0.003,IoU>=0.5 over 14 generated diagrams
box,2,hough_rectangles,0.21,0.677,0.32,0.01,IoU>=0.5 over 14 generated diagrams
box,3,yolov8_zero_shot,0.5,0.015,0.03,0.116,IoU>=0.5 over 14 generated diagrams
arrow,1,cnn_verified,0.581,0.346,0.434,0.08,"unordered src/tgt pairs, 14 scored diagrams"
arrow,2,hough_lines,0.383,0.346,0.364,0.019,"unordered src/tgt pairs, 14 scored diagrams"
arrow,3,pixel_scan,0.545,0.231,0.324,0.154,"unordered src/tgt pairs, 14 scored diagrams"
icon,1,template_matching,1.0,1.0,1.0,0.177,by-label fuzzy>=80; GT icons only present on search_interview_test.png
icon,2,clip_zero_shot,0.5,1.0,0.667,0.713,by-label fuzzy>=80; GT icons only present on search_interview_test.png
icon,3,hsv,0.0,0.0,0.0,0.003,by-label fuzzy>=80; GT icons only present on search_interview_test.png
